node	bin
NODE_378_length_54993_cov_16.153063	183
NODE_249_length_81498_cov_15.569245	183
NODE_77_length_180129_cov_15.750547	183
NODE_606_length_29136_cov_14.855713	183
NODE_430_length_48097_cov_33.596374	183
NODE_90_length_170592_cov_18.167670	183
NODE_63_length_199222_cov_29.313681	183
NODE_177_length_103924_cov_15.289095	183
NODE_374_length_56168_cov_15.223210	183
NODE_72_length_188295_cov_29.458510	183
NODE_172_length_107672_cov_15.138417	183
NODE_268_length_75926_cov_29.390848	183
NODE_20_length_342183_cov_15.760657	183
NODE_274_length_74140_cov_29.477951	183
NODE_363_length_59551_cov_35.402061	183
NODE_318_length_66080_cov_15.145278	183
NODE_180_length_103397_cov_28.653568	183
NODE_133_length_130075_cov_31.481934	183
NODE_148_length_120819_cov_15.958589	183
NODE_288_length_71993_cov_15.416748	183
NODE_637_length_25089_cov_15.997923	183
NODE_273_length_74289_cov_32.025204	183
NODE_647_length_24275_cov_14.276424	183
NODE_192_length_97581_cov_28.250754	183
NODE_150_length_120041_cov_15.759222	183
NODE_212_length_91060_cov_16.158057	183
NODE_533_length_36267_cov_15.338727	183
NODE_663_length_23175_cov_16.080320	183
NODE_817_length_12093_cov_19.476657	183
NODE_530_length_36418_cov_28.438440	183
NODE_246_length_82507_cov_14.901797	183
NODE_411_length_50072_cov_16.040206	183
NODE_387_length_53373_cov_16.720057	183
NODE_467_length_44139_cov_16.211301	183
NODE_454_length_44731_cov_16.079416	183
NODE_640_length_25023_cov_14.831624	183
NODE_331_length_63369_cov_15.686310	183
NODE_455_length_44702_cov_15.067216	183
NODE_727_length_18334_cov_14.750643	183
NODE_851_length_10330_cov_15.012360	183
NODE_793_length_13661_cov_30.952374	183
NODE_879_length_9050_cov_14.709839	183
NODE_835_length_10926_cov_15.324165	183
NODE_333_length_63093_cov_16.034122	183
NODE_291_length_71567_cov_15.587748	183
NODE_1182_length_2042_cov_46.925013	183
NODE_357_length_60039_cov_43.111363	183
NODE_92_length_168647_cov_29.281811	183
NODE_35_length_273804_cov_15.385978	183
NODE_666_length_22781_cov_16.622635	183
NODE_186_length_99913_cov_15.794568	183
NODE_506_length_39005_cov_15.922850	183
NODE_105_length_153057_cov_15.824767	183
NODE_1117_length_2717_cov_16.264838	183
NODE_320_length_65512_cov_29.108483	183
NODE_38_length_264084_cov_31.048711	183
NODE_789_length_13865_cov_29.338885	183
NODE_94_length_165184_cov_15.924520	183
NODE_218_length_89971_cov_15.415132	183
NODE_626_length_27043_cov_15.919816	183
NODE_426_length_48383_cov_29.466624	183
NODE_332_length_63281_cov_28.124664	183
NODE_412_length_50066_cov_30.294415	183
NODE_539_length_35841_cov_15.357654	183
NODE_57_length_204194_cov_15.620660	183
NODE_595_length_30104_cov_15.824520	183
NODE_56_length_210360_cov_30.735784	183
NODE_223_length_89597_cov_15.179167	183
NODE_200_length_94596_cov_28.708412	183
NODE_143_length_124274_cov_15.476223	183
NODE_683_length_21420_cov_14.569623	183
NODE_272_length_74292_cov_15.291957	183
NODE_538_length_35870_cov_16.887784	183
NODE_347_length_61279_cov_14.923772	183
NODE_784_length_14173_cov_15.643505	183
NODE_253_length_80288_cov_29.641170	183
NODE_70_length_189341_cov_15.518195	183
NODE_156_length_118406_cov_15.669610	183
NODE_230_length_87725_cov_29.346048	183
NODE_972_length_5044_cov_15.033875	183
NODE_321_length_65254_cov_15.976426	183
NODE_697_length_20597_cov_28.366566	183
NODE_360_length_59861_cov_15.175735	183
NODE_795_length_13432_cov_28.980863	183
NODE_111_length_147411_cov_30.931078	183
NODE_601_length_29502_cov_16.101980	183
NODE_381_length_54151_cov_16.067990	183
NODE_624_length_27331_cov_33.823764	183
NODE_240_length_85108_cov_33.695848	183
NODE_509_length_38602_cov_31.855268	183
NODE_721_length_18628_cov_14.577559	183
NODE_131_length_131723_cov_31.742884	183
NODE_385_length_53460_cov_29.382380	183
NODE_103_length_154145_cov_28.968797	183
NODE_236_length_86024_cov_32.923205	183
NODE_211_length_91501_cov_30.545349	183
NODE_282_length_72991_cov_14.967149	183
NODE_728_length_18324_cov_30.421479	183
NODE_215_length_90521_cov_15.890401	183
NODE_535_length_36038_cov_32.142984	183
NODE_118_length_141198_cov_28.738825	183
NODE_25_length_312775_cov_15.761451	183
NODE_846_length_10611_cov_15.271978	183
NODE_306_length_67959_cov_15.117136	183
NODE_496_length_39875_cov_14.775967	183
NODE_152_length_119651_cov_21.560454	183
NODE_155_length_118751_cov_15.786589	183
NODE_847_length_10586_cov_27.129522	183
NODE_130_length_131727_cov_15.725826	183
NODE_748_length_17284_cov_15.830983	183
NODE_66_length_195945_cov_29.133560	183
NODE_571_length_32360_cov_29.580870	183
NODE_517_length_38092_cov_21.346978	183
NODE_495_length_39940_cov_28.616974	183
NODE_725_length_18402_cov_20.930615	183
NODE_226_length_89280_cov_16.389823	183
NODE_16_length_392722_cov_15.605870	183
NODE_104_length_154144_cov_15.944156	183
NODE_181_length_102637_cov_30.263458	183
NODE_620_length_27896_cov_28.744837	183
NODE_839_length_10813_cov_28.181725	183
NODE_182_length_102378_cov_32.146067	183
NODE_594_length_30127_cov_15.314379	183
NODE_536_length_35996_cov_15.668095	183
NODE_45_length_247501_cov_29.119513	183
NODE_699_length_20540_cov_15.244764	183
NODE_820_length_11991_cov_14.877932	183
NODE_997_length_4677_cov_30.474254	183
